name,manufacturer,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,is_toddler_safe
lontong,Tidak Diketahui,1.20 g,144.0,2.76,31.76,0.23,0.12,0.0,1.2,6.7,4.6,9.77,0.34,0.0,0.0,0.0,5.0,10.0,7.0,0.0,0.0,True
Cimory Soyamilk,PT. Cimory Indonesia,10 g,260.0,10.0,42.0,6.0,18.0,0.0,0.0,12.09,16.67,12.92,8.96,0.0,0.0,0.0,17.0,13.0,13.0,0.0,0.0,False
Cimory yogurt set low fat,PT. Cimory Indonesia,5 g,60.0,5.0,8.0,1.5,0.0,0.0,0.0,2.79,8.33,2.46,2.24,0.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,True
Cimory yogurt drink,PT. Cimory Indonesia,26 g,180.0,6.0,32.0,2.0,0.0,0.0,26.0,8.37,10.0,9.85,2.99,0.0,0.0,0.0,10.0,10.0,0.0,0.0,87.0,True
Salak bali,Tidak Diketahui,0.70 g,57.0,0.5,13.6,0.1,0.0,0.0,1.3,2.65,0.83,4.18,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Salak medan,Tidak Diketahui,8.50 g,55.0,0.4,12.8,0.2,0.0,39.0,3.2,2.56,0.67,3.94,0.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Salak,Tidak Diketahui,0.70 g,77.0,0.4,20.9,0.0,0.0,0.0,0.0,3.58,0.67,6.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Jamur tiram, segar",Tidak Diketahui,0.60 g,30.0,1.9,5.5,0.1,0.0,22.0,3.6,1.4,3.17,1.69,0.15,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Rujak cingur,Tidak Diketahui,1.40 g,153.0,11.3,8.0,8.4,0.0,0.0,1.4,7.12,18.83,2.46,12.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Pisang angleng (pisang ampyang), segar",Tidak Diketahui,1 g,68.0,1.3,17.2,0.2,0.0,23.0,0.8,3.16,2.17,5.29,0.3,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Anggur hutan, segar",Tidak Diketahui,0.20 g,30.0,0.5,6.8,0.2,0.0,0.0,1.2,1.4,0.83,2.09,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Gurame asem manis, masakan",Tidak Diketahui,2.40 g,192.0,12.7,12.7,10.1,0.0,0.0,0.0,8.93,21.17,3.91,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
kopi kapal api special mix,Tidak Diketahui,1 g,100.0,1.0,23.0,1.0,0.0,10.0,0.0,4.65,1.67,7.08,1.49,0.67,0.0,0.0,2.0,8.0,5.0,0.0,0.0,False
WRP truil bar,PT.Nutrifood indonesia,2 g,80.0,1.0,14.0,3.5,7.0,0.0,2.0,3.72,1.67,4.31,5.22,0.0,0.0,0.0,0.0,5.0,0.0,6.0,7.0,True
WRP deli chips,PT. Indofood indonesia,3 g,210.0,1.0,26.0,11.0,1.0,0.0,3.0,9.77,1.67,8.0,16.42,0.0,0.0,0.0,0.0,0.0,10.0,17.0,10.0,True
Arwan sirsir,Tidak Diketahui,2.90 g,277.0,2.4,10.7,25.0,0.0,240.0,4.6,12.88,4.0,3.29,37.31,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Sirsak,Tidak Diketahui,0.70 g,65.0,1.0,16.3,0.3,0.0,2.0,3.2,3.02,1.67,5.02,0.45,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Gula putih / Gula Pasir,Tidak Diketahui,0.60 g,394.0,0.0,94.0,0.0,0.0,1.0,0.0,18.33,0.0,28.92,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Sirup,Tidak Diketahui,1 g,213.0,0.0,55.0,0.0,0.0,3.0,0.0,9.91,0.0,16.92,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
yoghurt cimory,Tidak Diketahui,5 g,180.0,6.0,36.0,2.0,26.0,90.0,5.0,8.37,10.0,11.08,2.99,6.0,0.0,0.0,10.0,12.0,0.0,0.0,17.0,False
Kelapa parut,Tidak Diketahui,3 g,283.0,3.0,10.0,27.0,0.0,0.0,0.0,13.16,5.0,3.08,40.3,0.0,0.0,0.0,5.0,0.0,14.0,41.0,0.0,True
"Ikan Layang, segar",Tidak Diketahui,2.30 g,109.0,22.0,0.0,1.7,0.0,0.0,0.0,5.07,36.67,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Ikan Layur, segar",Tidak Diketahui,0.50 g,82.0,18.0,0.4,1.0,0.0,0.0,0.0,3.81,30.0,0.12,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Lays krim dan bawang,PT. Indofoodd fretolay makmur,2 g,110.0,2.0,11.0,6.0,0.0,0.0,0.0,5.12,3.33,3.38,8.96,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,True
"Bunga pepaya, segar",Tidak Diketahui,1.70 g,45.0,2.6,8.1,0.3,0.0,2.0,1.6,2.09,4.33,2.49,0.45,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Daun kubis, kol, segar",Tidak Diketahui,2.20 g,51.0,2.5,8.0,1.1,0.0,50.0,3.4,2.37,4.17,2.46,1.64,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Erbis, segar",Tidak Diketahui,0.50 g,70.0,0.6,18.9,0.0,0.0,21.0,7.7,3.26,1.0,5.82,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Belibis, daging, segar",Tidak Diketahui,1.40 g,131.0,20.2,2.8,4.3,0.0,46.0,0.0,6.09,33.67,0.86,6.42,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Jagung titi,Tidak Diketahui,0.10 g,374.0,9.4,79.1,2.2,0.0,0.0,0.8,17.4,15.67,24.34,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Kepiting, , segar",Tidak Diketahui,0.20 g,151.0,13.8,14.1,3.8,0.0,0.0,0.0,7.02,23.0,4.34,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Del Monte Barbaque Sauce (250 g),Tidak Diketahui,0 g,60.0,0.0,14.0,0.0,10.0,880.0,0.0,2.79,0.0,4.31,0.0,58.67,0.0,59.0,0.0,5.0,3.0,0.0,0.0,False
Kacang belimbing rebus,Tidak Diketahui,1.20 g,204.0,16.9,17.5,8.8,0.0,43.0,4.8,9.49,28.17,5.38,13.13,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Tempe kacang belimbing,Tidak Diketahui,1.40 g,212.0,17.5,12.9,10.0,0.0,0.0,2.9,9.86,29.17,3.97,14.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Belimbing, segar",Tidak Diketahui,0.40 g,36.0,0.4,8.8,0.4,0.0,4.0,3.2,1.67,0.67,2.71,0.6,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Nutrisari Es Rujak,PT. Nutrifood Indonesia,0 g,50.0,0.0,12.0,0.0,10.0,150.0,0.0,2.33,0.0,3.69,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Rujak lontong,Tidak Diketahui,11.98 g,243.0,11.98,24.7,12.3,0.0,278.0,0.0,11.3,19.97,7.6,18.36,18.53,0.0,19.0,20.0,0.0,0.0,19.0,0.0,True
Belitung kukus,Tidak Diketahui,1.10 g,145.0,1.2,34.2,0.4,0.0,7.0,1.0,6.74,2.0,10.52,0.6,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Enting-enting gepuk kacang tanah,Tidak Diketahui,1.40 g,524.0,13.3,52.0,29.2,0.0,0.0,0.2,24.37,22.17,16.0,43.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Pisang kepok, segar",Tidak Diketahui,1 g,109.0,0.8,26.3,0.5,0.0,10.0,5.7,5.07,1.33,8.09,0.75,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Pisang kepok rebus,Tidak Diketahui,1.55 g,145.0,1.55,37.91,0.44,0.0,5.0,0.0,6.74,2.58,11.66,0.66,0.33,0.0,0.0,3.0,12.0,7.0,0.0,0.0,True
Meiji Plain Crackers with Oat,Meiji seika (s) Pte. Ltd. (diimpor oleh PT. Nirwana Lestari),2 g,120.0,3.0,19.0,3.5,0.0,120.0,2.0,5.58,5.0,5.85,5.22,8.0,8.0,8.0,0.0,0.0,0.0,0.0,7.0,True
Meiji Plain Crackers (isi 4 bungkus),Meiji seika (s) Pte. Ltd. (diimpor oleh PT. Nirwana Lestari),2 g,120.0,3.0,19.0,3.5,1.0,125.0,2.0,5.58,5.0,5.85,5.22,8.33,8.0,9.0,0.0,0.0,0.0,0.0,7.0,True
Barongko,Tidak Diketahui,0.70 g,159.0,3.1,23.5,5.8,0.0,46.0,0.0,7.4,5.17,7.23,8.66,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Ikan Baubara, segar",Tidak Diketahui,1.60 g,100.0,14.7,4.9,2.4,0.0,390.0,0.0,4.65,24.5,1.51,3.58,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
"Ketumbar, kering",Tidak Diketahui,4.40 g,418.0,14.1,54.2,16.1,0.0,91.0,12.3,19.44,23.5,16.68,24.03,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Saladstop Omega 3 baby,Tidak Diketahui,6.70 g,391.3,17.3,18.6,28.7,9.6,0.0,6.7,18.2,28.83,5.72,42.84,0.0,0.0,0.0,29.0,0.0,0.0,43.0,23.0,True
Blue Band,PT.Unilever Indonesia Tbk,0 g,90.0,0.0,0.0,10.0,0.0,125.0,0.0,4.19,0.0,0.0,14.93,8.33,20.0,0.0,0.0,0.0,0.0,15.0,0.0,True
Gilus mix sensasi aroma pandan (isi 10 sachet),PT. TORABIKA EKA SEMESTA,1 g,90.0,1.0,21.0,0.5,17.0,0.0,0.0,4.19,1.67,6.46,0.75,0.0,0.0,0.0,2.0,7.0,5.0,0.0,0.0,False
Sasa Santan Kelapa,PT. Sasa Inti,0 g,35.0,0.0,1.0,4.0,0.0,15.0,0.0,1.86,0.0,0.31,5.97,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Sasa Santan Kelapa Coconut Cream,Tidak Diketahui,0 g,35.0,0.0,1.0,4.0,0.0,15.0,0.0,1.86,0.0,0.31,5.97,1.0,18.0,0.0,0.0,0.0,2.0,6.0,0.0,True
Sasa Tepung Bakwan,Tidak Diketahui,0 g,0.0,1.0,8.0,0.0,1.0,150.0,0.0,1.63,1.67,2.46,0.0,10.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,True
Goldenfil Choco Crunchy,PT. Primarasa Abadi Sejahtera,1 g,30.0,1.0,13.0,6.0,10.0,20.0,0.0,5.12,1.67,4.0,8.96,1.33,18.0,0.0,0.0,0.0,6.0,9.0,0.0,True
san remo sauce tomato basil,PT. Sukanda djaya,2 g,96.0,2.0,11.5,4.6,7.4,0.0,0.0,4.47,3.33,3.54,6.87,0.0,0.0,0.0,0.0,4.0,5.0,7.0,0.0,True
Silky Pudding Coklat,PT. Forisa Nusapersada,3 g,130.0,3.0,23.0,3.5,0.0,35.0,0.0,6.05,5.0,7.08,5.22,2.33,0.0,0.0,0.0,8.0,7.0,6.0,0.0,True
